State,Race,St_rce,ACS,BRFSS_SV,SV,Qualflag_SV,,,,,,,
AZ,Wht,AZ_Wht,0.65389,0.6934174,0.0247576,0,,,,,,,
AZ,Blk,AZ_Blk,0.02824,0.0163868,0,1,,,,,,,
AZ,Hsp,AZ_Hsp,0.24647,0.2391596,0.0535299,0,,,,,,,
AZ,API,AZ_API,0.02313,0.0184947,0.0984662,1,,,,,,,
AZ,NAAI,AZ_NAAI,0.03766,0.0207596,0.0388031,1,,,,,,,
AZ,Oth,AZ_Oth,0.01062,0.0117819,0.0128133,1,,,,,,,
CO,Wht,CO_Wht,0.75055,0.7774818,0.0229453,0,,,,,,,
CO,Blk,CO_Blk,0.03361,0.0222805,0.0078676,1,,,,,,,
CO,Hsp,CO_Hsp,0.17171,0.1648525,0.0233744,0,,,,,,,
CO,API,CO_API,0.02651,0.0111782,0.0268816,1,,,,,,,
CO,NAAI,CO_NAAI,0.00585,0.0071672,0.1030917,1,,,,,,,
CO,Oth,CO_Oth,0.01178,0.0170398,0.0445126,1,,,,,,,
CT,Wht,CT_Wht,0.77795,0.8421211,0.0194002,0,,,,,,,
CT,Blk,CT_Blk,0.08001,0.0503221,0.0269594,1,,,,,,,
CT,Hsp,CT_Hsp,0.09712,0.0712768,0.0387943,0,,,,,,,
CT,API,CT_API,0.03275,0.0220144,0,1,,,,,,,
CT,NAAI,CT_NAAI,0.0019,0.0040777,0.1773675,1,,,,,,,
CT,Oth,CT_Oth,0.01028,0.0101879,0.1029318,1,,,,,,,
DE,Wht,DE_Wht,0.73125,0.7840885,0.03404,0,,,,,,,
DE,Blk,DE_Blk,0.18215,0.1369155,0.0401567,0,,,,,,,
DE,Hsp,DE_Hsp,0.05134,0.0307578,0.1353517,0,,,,,,,
DE,API,DE_API,0.02342,0.0190285,0,1,,,,,,,
DE,NAAI,DE_NAAI,0.00198,0.0059916,0,1,,,,,,,
DE,Oth,DE_Oth,0.00985,0.0232182,0.1026658,1,,,,,,,
FL,Wht,FL_Wht,0.6496,0.6610617,0.0194128,0,,,,,,,
FL,Blk,FL_Blk,0.12812,0.1021705,0.0547589,0,,,,,,,
FL,Hsp,FL_Hsp,0.18793,0.1879081,0.0400086,0,,,,,,,
FL,API,FL_API,0.02101,0.0121562,0.0163349,1,,,,,,,
FL,NAAI,FL_NAAI,0.003,0.0085292,0.0124053,1,,,,,,,
FL,Oth,FL_Oth,0.01033,0.0281743,0.0483774,1,,,,,,,
HI,Wht,HI_Wht,0.2494,0.2728299,0.0229548,0,,,,,,,
HI,Blk,HI_Blk,0.01651,0.0127589,0.0264025,1,,,,,,,
HI,Hsp,HI_Hsp,0.06514,0.0808521,0.0654746,0,,,,,,,
HI,API,HI_API,0.5285,0.4186721,0.0201302,0,,,,,,,
HI,NAAI,HI_NAAI,0.0022,0.0015775,0.0770343,1,,,,,,,
HI,Oth,HI_Oth,0.13825,0.2133096,0.0395173,0,,,,,,,
ID,Wht,ID_Wht,0.87912,0.8761456,0.0202809,0,,,,,,,
